Rk;Player;Code;Pos;Age;Tm;G;MP;PER;TS%;3PAr;FTr;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;;OWS;DWS;WS;WS/48;;OBPM;DBPM;BPM;VORP
1;Precious Achiuwa;achiupr01;PF;21;MIA;61;737;14.2;0.55;0.004;0.482;11.5;20.6;16.1;6.1;1.3;4;13.5;19.5;;0.3;1;1.3;0.085;;-3.5;-0.9;-4.5;-0.5
2;Jaylen Adams;adamsja01;PG;24;MIL;7;18;-6.5;0.125;0.25;0;0;16.9;8.8;12.7;0;0;0;18.6;;-0.1;0;-0.1;-0.252;;-14.9;-5;-19.8;-0.1
3;Steven Adams;adamsst01;C;27;NOP;58;1605;15.1;0.596;0.01;0.438;14.4;20.4;17.4;9.1;1.6;2.2;17.5;11.7;;2.3;1.7;4;0.119;;-0.3;-0.5;-0.8;0.5
4;Bam Adebayo;adebaba01;C;23;MIA;64;2143;22.7;0.626;0.01;0.443;7.7;22.6;15.3;26.9;1.7;3.2;15;23.7;;5.6;3.2;8.8;0.197;;2.9;1.9;4.7;3.6
5;LaMarcus Aldridge;aldrila01;C;35;TOT;26;674;15.7;0.556;0.27;0.159;3;15.8;9.4;11;0.8;3.7;7.9;22.2;;0.5;0.6;1.1;0.08;;-0.2;-0.4;-0.6;0.2
6;Ty-Shon Alexander;alexaty01;SG;22;PHO;15;47;4.2;0.349;0.75;0.167;4.9;19;12.1;15.4;0;1.9;18.9;15;;-0.1;0;0;-0.048;;-5.3;-1.6;-6.8;-0.1
7;Nickeil Alexander-Walker;alexani01;SG;22;NOP;46;1007;12.5;0.522;0.478;0.144;1.4;14.1;7.8;14.7;2.2;2.1;12.4;23.2;;-0.3;1;0.7;0.035;;-1.4;-0.2;-1.6;0.1
8;Grayson Allen;allengr01;SG;25;MEM;50;1259;12.8;0.586;0.662;0.22;1.6;12;6.7;11.5;1.7;0.6;9.6;16.8;;1.5;1.2;2.7;0.101;;-0.4;-0.1;-0.5;0.5
9;Jarrett Allen;allenja01;C;22;TOT;63;1864;20.1;0.661;0.039;0.602;11.6;26.3;18.9;8.7;0.8;4.3;14.1;16.6;;4.3;2.1;6.4;0.166;;1.4;-0.4;0.9;1.4
10;Al-Farouq Aminu;aminual01;PF;30;TOT;23;434;8.9;0.469;0.374;0.222;5.1;21.9;13.3;10.1;2.1;1.9;20.5;13.6;;-0.4;0.5;0.1;0.01;;-5;1;-4;-0.2
11;Kyle Anderson;anderky01;PF;27;MEM;69;1887;17.2;0.578;0.397;0.28;2.9;19.5;11.1;18.3;2.1;2.7;10.4;18.5;;2.9;2.7;5.6;0.143;;1.4;1.7;3.1;2.4
12;Giannis Antetokounmpo;antetgi01;PF;26;MIL;61;2013;29.2;0.633;0.201;0.528;5.3;28.9;17.5;28.7;1.7;3.2;13.2;32.5;;6.9;3.3;10.2;0.244;;6.2;2.6;8.8;5.5
13;Kostas Antetokounmpo;antetko01;PF;23;LAL;15;56;0;0.382;0;1.3;8.1;29.9;19.1;2.3;1.7;6.4;41.2;20.7;;-0.3;0.1;-0.2;-0.174;;-13.2;0.2;-13;-0.2
14;Thanasis Antetokounmpo;antetth01;SF;28;MIL;57;551;10.3;0.523;0.212;0.358;10.7;12.9;11.8;10.3;1.9;1.6;21.3;15.3;;0;0.6;0.7;0.057;;-3.6;-0.3;-3.9;-0.3
15;Carmelo Anthony;anthoca01;PF;36;POR;69;1690;14.6;0.547;0.418;0.198;2;11.8;6.8;9.2;1.3;2;6.7;23.1;;1.7;0.8;2.6;0.073;;0.1;-1.6;-1.5;0.2
